友情,yǒu qíng,"Friendship, affection, Camaraderie, Ruth, ",,爱情和<b>友情</b>之间的界线难以划清。,ài qíng hé yǒu qíng zhī jiān de jiè xiàn nán yǐ huà qīng 。,It is difficult to define the border between love and friendship.
亲情,qīn qíng,"Kinship, Family, affection, Family Affection, ",,友情和<b>亲情</b>都是无法定价的。,yǒu qíng hé qīn qíng dōu shì wú fǎ dìng jià de 。,"Never can you put a price on friendship, nor on family."
望,wàng,"MONG, full moon, Montjeu, ",,她面带微笑赞许地<b>望</b>着他。,tā miàn dài wēi xiào zàn xǔ dì wàng zhe tā 。,She looked at him approvingly and smiled.
剩下,shèng xià,"remain, left over, spare, rest, ",,他把<b>剩下</b>的苹果派赶快吃完。,tā bǎ shèng xià de píng guǒ pài gǎn kuài chī wán 。,He polished off the remains of the apple pie.
钥匙,yào shi,"key, key, Keyless, PUBLIO AREAS KEY, ",,他站在那儿手里摆弄着汽车<b>钥匙</b>。,tā zhàn zài nà ér shǒu lǐ bǎi nòng zhe qì chē yào shi 。,He stood jiggling his car keys in his hand.
话题,huà tí,"Topic, subject, theme, subject of conversation, ",,这场战争是一个被忌讳的<b>话题</b>。,zhè chǎng zhàn zhēng shì yí gè bèi jì huì de huà tí 。,The war was a forbidden subject.
落,luò,"Drop, come down, to set, go down, ",,全部的重任都<b>落</b>在了她的肩上。,quán bù de zhòng rèn dōu luò zài le tā de jiān shàng 。,The full weight of responsibility falls on her.
白葡萄酒,bái pú táo jiǔ,"White Wine, CHABLIS, Vino Blanco, Blanc, ",,我大口喝完两杯<b>白葡萄酒</b>。,wǒ dà kǒu hē wán liǎng bēi bái pú táo jiǔ 。,I swigged down two white wines.
景点,jǐng diǎn,"scenery spot, Attractions, tourist attraction, ",,吉维尼主要的<b>景点</b>是莫奈花园。,jí wéi ní zhǔ yào de jǐng diǎn shì mò nài huā yuán 。,The main attraction at Giverny is Monet's garden.
换,huàn,"Change, Switch, Shift, TRS, ",,这些赠券只能<b>换</b> DVD 盘。,zhè xiē zèng quàn zhǐ néng huàn  DVD  pán 。,These tokens are exchangeable for DVDs only.
手术,shǒu shù,"Operation, Surgery, ICL, NSS, ",,我的腹股沟部位曾动过一次<b>手术</b>。,wǒ de fù gǔ gōu bù wèi céng dòng guò yī cì shǒu shù 。,I underwent an operation on my groin once.
旅馆,lǚ guǎn,"Hotel, Inn, lodge, hostel, ",,她沉湎于<b>旅馆</b>豪华奢侈的享乐之中。,tā chén miǎn yú lǚ guǎn háo huá shē chǐ de xiǎng lè zhī zhōng 。,She wallowed in the luxury of the hotel.
枕头,zhěn tou,"Pillow, Dutch wife, ALMOHADA, bedroom/bedsit pillow, ",,她把脸埋进<b>枕头</b>中。,tā bǎ liǎn mái jìn zhěn tou zhōng 。,She buried her face in the pillows.
套,tào,"Jacket, Casing, CCTV, set, ",,她穿那<b>套</b>衣服看起来很男性化。,tā chuān nà tào yī fú kàn qǐ lái hěn nán xìng huà 。,That suit makes her look very masculine.
脏,zàng,"hnH, TAH, Zanl jeq, eo, ",,谁来把这些<b>脏</b>玻璃杯收拾一下好吗？,shéi lái bǎ zhè xiē zàng bō lí bēi shōu shí yī xià hǎo ma ？,Would somebody collect up all the dirty glasses?
既然,jì rán,"now that, Since, so long as, in that, ",,<b>既然</b>我将要离开，我想重新安排一下这次会议的时间。,jì rán wǒ jiāng yào lí kāi ， wǒ xiǎng chóng xīn ān pái yī xià zhè cì huì yì de shí jiān 。,"Since I'll be away, I'd like to reschedule the meeting."
优惠券,yōu huì quàn,"coupon, GoDaddy Coupon, discount coupon, ",,他用一张买二送一<b>优惠券</b>结账。,tā yòng yī zhāng mǎi èr sòng yī yōu huì quàn jié zhàng 。,He paid with a two-for-one coupon.
农历,nóng lì,"chinese calendar, the lunar calendar, lunar, Chinese Lunar Calendar, ",,祝我<b>农历</b>生日快乐！,zhù wǒ nóng lì shēng rì kuài lè ！,Happy lunar birthday to me!
骗,piàn,"Fool, jockeying, ",,你<b>骗</b>不了他，他脑筋一向很快。,nǐ piàn bù liǎo tā ， tā nǎo jīn yí xiàng hěn kuài 。,You can't fool him— he's always quick on the draw.
修,xiū,"Hugh, Trentment, RCM, repair, ",,你能帮我<b>修</b>一下自行车吗？,nǐ néng bāng wǒ xiū yī xià zì xíng chē ma ？,Could you mend my bike for me?
绕路,rào lù,"detour, take a detour, take a roundabout way, bypass, ",,我很想搭你的车回家，如果这不叫你<b>绕路</b>的话。,wǒ hěn xiǎng dā nǐ de chē huí jiā ， rú guǒ zhè bù jiào nǐ rào lù de huà 。,I'd love a ride home—if it's not out of your way.
熟人,shú rén,"Connections, friend, my acquaintances, ",,有关旅馆的最佳信息通常来自曾经去过那儿的朋友和<b>熟人</b>。,yǒu guān lǚ guǎn de zuì jiā xìn xī tōng cháng lái zì céng jīng qù guò nà ér de péng yǒu hé shú rén 。,The best information about hotels usually comes from friends and acquaintances who have been there.
故意,gù yì,"on purpose, Deliberately, intention, ",,她被<b>故意</b>从客人名单里漏掉了。,tā bèi gù yì cóng kè rén míng dān lǐ lòu diào le 。,She has been deliberately left off the guest list.
熟,shú,"fast, idiopathic CPP, ICPP, ni, ",,这肉还不太<b>熟</b>。,zhè ròu hái bù tài shú 。,The meat isn't quite done yet.
收据,shōu jù,"receipt, rect, voucher, rept, ",,请给我开个<b>收据</b>，好吗？,qǐng gěi wǒ kāi gè shōu jù ， hǎo ma ？,"Can I have a receipt, please?"
打折,dǎ zhé,"Discount, On Sale, off, knock off, ",,剧场给十人以上的团体<b>打折</b>10%。,jù chǎng gěi shí rén yǐ shàng de tuán tǐ dǎ zhé 10%。,The theatre gives a 10% discount to parties of more than ten.
国际,guó jì,"International, SOS, ISO, ",,他也定期为《<b>国际</b>管理》杂志写稿。,tā yě dìng qī wèi 《 guó jì guǎn lǐ 》 zá zhì xiě gǎo 。,"He also writes regularly for ""International Management"" magazine."
人民币,rén mín bì,"CNY, Yuan, CNH, China Yuan, ",,通货膨胀正在迅速上升；<b>人民</b><b>币</b>正在贬值。,tōng huò péng zhàng zhèng zài xùn sù shàng shēng ； rén mín bì zhèng zài biǎn zhí 。,Inflation is rising rapidly; the yuan is depreciating.
文档,wén dàng,"Document, Documentation, archive, PRD, ",,按“退出”键返回到你的<b>文档</b>。,àn “ tuì chū ” jiàn fǎn huí dào nǐ de wén dàng 。,Press Exit to return to your document.
有关,yǒu guān,"in relation to, Related, refer to, relative to, ",,我还没有发现<b>有关</b>他的什么情况。,wǒ hái méi yǒu fā xiàn yǒu guān tā de shén me qíng kuàng 。,I haven't found anything out about him yet.
推荐信,tuī jiàn xìn,"letter of recommendation, recommendation letter, Recommendation, ",,他用假的<b>推荐</b><b>信</b>骗取了那份工作。,tā yòng jiǎ de tuī jiàn xìn piàn qǔ le nà fèn gōng zuò 。,He conned his way into the job using false references.
推荐,tuī jiàn,"Recommend, recommendation, HOTLISTS, nominate, ",,航空公司<b>推荐</b>使用硬边的提箱以求耐用。,háng kōng gōng sī tuī jiàn shǐ yòng yìng biān de tí xiāng yǐ qiú nài yòng 。,Airlines recommend hard-sided cases for durability.
生菜,shēng cài,"Lettuce, romaine, der Salat, lechuga, ",,色拉就是几片<b>生菜</b>的残叶。,sè lā jiù shì jǐ piàn shēng cài de cán yè 。,The salad consisted of a few leaves of sad-looking lettuce.
香菜,xiāng cài,"coriander, caraway, Parsley, cilantro, ",,加入黄瓜和洋葱，按你的口味加盐调味，再加入藜麦和<b>香菜</b>。,jiā rù huáng guā hé yáng cōng ， àn nǐ de kǒu wèi jiā yán tiáo wèi ， zài jiā rù lí mài hé xiāng cài 。,"Add the cucumber and onion, and season to your taste with salt, and add the quinoa and cilantro."
烤箱,kǎo xiāng,"oven, toaster, salamander stove, baking oven, ",,蛋糕一烤好，就把它从<b>烤箱</b>里移出来。,dàn gāo yī kǎo hǎo ， jiù bǎ tā cóng kǎo xiāng lǐ yí chū lái 。,"As soon as the cake is done, remove it from the oven."
油醋酱,yóu cù jiàng,"Italian dressing, Vinaigrette dressing, ",,有一句中国谚语将基本的日常必需品称为柴、米、<b>油</b>、盐、<b>酱</b>、<b>醋</b>、茶。,yǒu yī jù zhōng guó yàn yǔ jiāng jī běn de rì cháng bì xū pǐn chēng wéi chái 、 mǐ 、 yóu 、 yán 、 jiàng 、 cù 、 chá 。,"Chinese saying identifies the basic daily necessities as fuel, rice, oil, salt, soy sauce, vinegar, and tea."
醋,cù,"black vinegar, balsamic, Aceto Balsamico Tradizionale, vinegar, ",,酒<b>醋</b>能让肉变得软嫩。,jiǔ cù néng ràng ròu biàn dé ruǎn nèn 。,Wine vinegar tenderizes meat.
沙拉酱,shā là jiàng,"salad dressing, Dressing, salad sauce, ",,我们有意大利<b>酱</b>、柳橙<b>酱</b>和千岛<b>沙拉酱</b>。,wǒ men yǒu yì dà lì jiàng 、 liǔ chéng jiàng hé qiān dǎo shā là jiàng 。,"We have Italian dressing, Orange dressing and 1000 Island dressing."
酱,jiàng,"sauce, paste, soy sauce, vegemite, ",,这<b>酱</b>汁淡而无味。,zhè jiàng zhī dàn ér wú wèi 。,The sauce was thin and tasteless.
辣椒酱,là jiāo jiàng,"chili sauce, chilli paste, sambal, ",,在这里介绍一款光明节食谱，是传统的啤酒跟<b>辣椒酱</b>融合的炖牛胸肉。,zài zhè lǐ jiè shào yī kuǎn guāng míng jié shí pǔ ， shì chuán tǒng de pí jiǔ gēn là jiāo jiàng róng hé de dùn niú xiōng ròu 。,"Here is a Hanukkah recipe, a traditional stewed beef brisket with beer and chili sauce."
酱油,jiàng yóu,"soy sauce, soy sauce, Syoyu, ",,菜里多放点<b>酱油</b>。,cài lǐ duō fàng diǎn jiàng yóu 。,Put a bit more soy sauce in the food [dish].
酱料,jiàng liào,"Sauce, Condiment, MONIN SAUCE, ",,要不要用块面包把这<b>酱料</b>蘸蘸吃了？,yào bù yào yòng kuài miàn bāo bǎ zhè jiàng liào zhàn zhàn chī le ？,Do you want some bread to mop up that sauce?
鸭肉,yā ròu,"duck, Ped, mutton, salted duck egg, ",,请再吃点<b>鸭肉</b>吧！,qǐng zài chī diǎn yā ròu ba ！,Help yourself to some more duck!
煎锅,jiān guō,"frying-pan, wok, frypan, ",,有一次，她用<b>煎锅</b>狠狠地砸了我的头。,yǒu yī cì ， tā yòng jiān guō hěn hěn dì zá le wǒ de tóu 。,"Once, she walloped me over the head with a frying pan."
煎饼,jiān bǐng,"pancake, wafer, Pannekoek, millet pancake, ",,这<b>煎饼</b>尝起来味道不错。,zhè jiān bǐng cháng qǐ lái wèi dào bù cuò 。,This pancake tastes delicious.
煎,jiān,"frying, Friedporkliver, brew, pancake, ",,金枪鱼可以烤、<b>煎</b>或烧烤着吃。,jīn qiāng yú kě yǐ kǎo 、 jiān huò shāo kǎo zhe chī 。,"Tuna can be grilled, fried or barbecued."
葱油饼,cōng yóu bǐng,"green onion pie, scallion cake, onion pancake, ",,这种干烙<b>葱油饼</b>有一大妙处，那就是可以放凉了吃。,zhè zhǒng gàn lào cōng yóu bǐng yǒu yī dà miào chù ， nà jiù shì kě yǐ fàng liáng le chī 。,Green onion pancake that a large dry branded beauty that you can let cool and eat.
洋葱,yáng cōng,"Onion, Allium cepa, YangPa, die Zwiebel, ",,你是不是觉得吃了<b>洋葱</b>嘴里老有一股味儿？,nǐ shì bú shì jué de chī le yáng cōng zuǐ lǐ lǎo yǒu yī gǔ wèi ér ？,Do you find that onions repeat on you?
番茄,fān qié,"Tomato, Solanum lycopersicum, Lycopersicon esculentum Mill, love apple, ",,他的冰箱里除了3个干瘪的<b>番茄</b>之外什么也没有。,tā de bīng xiāng lǐ chú le 3 gè gān biě de fān qié zhī wài shén me yě méi yǒu 。,His fridge was bare apart from three very withered tomatoes.
西红柿,xī hóng shì,"Tomato, an apple of love, Tomato, pomodoro, ",,<b>西红柿</b>在阳光直射下长得最好。,xī hóng shì zài yáng guāng zhí shè xià zhǎng dé zuì hǎo 。,Tomatoes grow best in direct sunlight.
牛油果,niú yóu guǒ,"butyrospermum parkii, Shea Butter, Mimusops elengi, ",,<b>牛油果</b>也非常营养，但是卡路里含量也很高。,niú yóu guǒ yě fēi cháng yíng yǎng ， dàn shì kǎ lù lǐ hán liàng yě hěn gāo 。,"Avocado is highly nutritious, but also high in calories."
墨西哥卷饼,mò xī gē juǎn bǐng,"Taco, Burrito, ",,他在厨房，热<b>墨西哥卷饼</b>当早餐。,tā zài chú fáng ， rè mò xī gē juǎn bǐng dāng zǎo cān 。,"Yeah, he's nuking his breakfast burrito in the kitchen."
小龙虾,xiǎo lóng xiā,"lobsterling, langoustine, crayfish, ",,人类有46个染色体，豌豆有14个，而<b>小龙虾</b>有200个。,rén lèi yǒu 46 gè rǎn sè tǐ ， wān dòu yǒu 14 gè ， ér xiǎo lóng xiā yǒu 200 gè 。,"Humans have 46 chromosomes, peas have 14, and crayfish have 200."
龙虾,lóng xiā,"lobster, spiny lobster, Labster, langouste, ",,我来烤<b>龙虾</b>。,wǒ lái kǎo lóng xiā 。,I'll grill the lobster.
虾,xiā,"shrimp, die Garnele -n, Prawn, Scampi, ",,海恩斯慢慢地咀嚼着一只<b>虾</b>。,hǎi ēn sī màn màn dì jǔ jué zhe yī zhī xiā 。,Hines slowly masticated a shrimp.
馅,xiàn,"filling for dumpling, stuffing for dumpling, filling for, stuffing for dumpling filling for dumpling, ",,将<b>馅</b>料倒在已冷却的饼皮上，摊平。,jiāng xiàn liào dào zài yǐ lěng què de bǐng pí shàng ， tān píng 。,Pour the filling over the cooled crust and spread until smooth.
线 ,xiàn  ,"line, EXT, Wire, PER, ",,他们的目的是封锁游击队的供给<b>线</b>。,tā men de mù dì shì fēng suǒ yóu jī duì de gōng jǐ xiàn 。,Their aim was to block guerrilla supply lines.
下水道,xià shuǐ dào,"sewer, drainage, sanitary sewer, sewage, ",,主<b>下水道</b>被堵住了。,zhǔ xià shuǐ dào bèi dǔ zhù le 。,The main drain was blocked.
堵,dǔ,"plug, hat, traffic jam, ",,这条路被<b>堵</b>了—你们得开车绕着走了。,zhè tiáo lù bèi dǔ le — nǐ men dé kāi chē rào zhe zǒu le 。,The road's blocked—you'll have to drive the long way round.
驾,jià,"ride, sail, drive, ",,他<b>驾</b>着厢式货车缓缓前行。,tā jià zhe xiāng shì huò chē huǎn huǎn qián xíng 。,He inched the van forward.
加,jiā,"addition, Added, Plus, add up, ",,你们提供住宿<b>加</b>早餐的服务吗？,nǐ men tí gōng zhù sù jiā zǎo cān de fú wù ma ？,Do you do bed and breakfast?
大自然,dà zì rán,"NATURE, Mother Nature, the works of God, Truffles Natural, ",,他渐渐喜欢上了<b>大自然</b>的迷人之处。,tā jiàn jiàn xǐ huān shàng le dà zì rán de mí rén zhī chù 。,He was beginning to enjoy the beauties of nature.
之前,zhī qián,"Before, pre, prior to, ante, ",,提醒我在出去<b>之前</b>给艾伦打电话。,tí xǐng wǒ zài chū qù zhī qián gěi ài lún dǎ diàn huà 。,Remind me to phone Alan before I go out.
教堂,jiào táng,"Church, cathedral, Saint-Sulpice, chapel, ",,这座<b>教堂</b>于1234年成为了神址。,zhè zuò jiào táng yú 1234 nián chéng wéi le shén zhǐ 。,The church was consecrated in 1234.
邮局,yóu jú,"post office, general post office, post, clerks and clients, ",,我们就住在路的前面，刚过<b>邮局</b>的地方。,wǒ men jiù zhù zài lù de qián miàn ， gāng guò yóu jú de dì fāng 。,"We live just up the road, past the post office."
墙壁,qiáng bì,"wall, tom walls tom, Rasha, mur, ",,几张华丽的油画使<b>墙壁</b>熠熠生辉。,jǐ zhāng huá lì de yóu huà shǐ qiáng bì yì yì shēng huī 。,Several magnificent oil paintings adorn the walls.
壁画馆,bì huà guǎn,"Roman Painted House, ",,同一个俗名也用于圣母橄榄球<b>馆</b>的耶稣复活<b>壁画</b>。,tóng yī gè sú míng yě yòng yú shèng mǔ gǎn lǎn qiú guǎn de yē sū fù huó bì huà 。,The nickname is the same used for a famous mural of the resurrected Jesus that overlooks the Notre Dame football stadium.
博物馆,bó wù guǎn,"Museum, That's a big dinosaur, Victoria and Albert Museum, ",,我们在导游的带领下参观了<b>博物馆</b>。,wǒ men zài dǎo yóu de dài lǐng xià cān guān le bó wù guǎn 。,We were guided around the museums.
民宿,mín sù,"Guesthouse, Pension, Homestay, Bed & Breakfast, ",,有许多网站列出了世界各地的环保旅馆、<b>民</b><b>宿</b>和旅馆。,yǒu xǔ duō wǎng zhàn liè chū le shì jiè gè dì de huán bǎo lǚ guǎn 、 mín sù hé lǚ guǎn 。,"There are a number of Web sites that list environmentally friendly hotels, B&B's and lodges around the world."
航空,háng kōng,"air freight, air mail, air-mail service, Airlines Staff, ",,这家<b>航空</b>公司的安全情况一向很好。,zhè jiā háng kōng gōng sī de ān quán qíng kuàng yí xiàng hěn hǎo 。,The airline has a good safety record.
 签证,  qiān zhèng,"VISA, TRV, SIV, whv, ",,他们居留超过了<b>签证</b>期限。,tā men jū liú chāo guò le qiān zhèng qī xiàn 。,They overstayed their visa.
免费,miǎn fèi,"free of charge, Gratis, for free, ",,研讨会是<b>免费</b>的，还提供午餐。,yán tǎo huì shì miǎn fèi de ， hái tí gōng wǔ cān 。,"The seminars are free, with lunch provided."
效果,xiào guǒ,"effectiveness; effect, Effect, effectiveness, Consequence, ",,舞台灯光产生出月下景色的<b>效果</b>。,wǔ tái dēng guāng chǎn shēng chū yuè xià jǐng sè de xiào guǒ 。,The stage lighting gives the effect of a moonlit scene.
机票,jī piào,"airline ticket, Air Ticket, ticket, ",,他为自己赢得了两张飞往都柏林的头等舱<b>机票</b>。,tā wèi zì jǐ yíng de le liǎng zhāng fēi wǎng dōu bó lín de tóu děng cāng jī piào 。,He won himself two first-class tickets to fly to Dublin.
行李箱,xíng lǐ xiāng,"suitcase, Luggage Cases, ",,她打开汽车的<b>行李箱</b>，开始拿出一袋杂货。,tā dǎ kāi qì chē de xíng lǐ xiāng ， kāi shǐ ná chū yī dài zá huò 。,She opened the boot of the car and started to take out a bag of groceries.
箱子,xiāng zi,"chest, box, bin, ",,那个<b>箱子</b>是用生锈的铁丝捆紧的。,nà gè xiāng zi shì yòng shēng xiù de tiě sī kǔn jǐn de 。,The box was fastened with a rusty wire.
拍,pāi,"Beat, clap, slap, ",,我看见他<b>拍</b>一个女服务生的屁股。,wǒ kàn jiàn tā pāi yí gè nǚ fú wù shēng de pì gǔ 。,I saw him pat a waitress on her rear.
相机,xiàng jī,"Camera, SLR, PTP, APS-C, ",,调试<b>相机</b>可能会很费事。,tiáo shì xiàng jī kě néng huì hěn fèi shì 。,Setting up the camera can be tricky.
自动驾驶汽车,zì dòng jià shǐ qì chē,"Autonomous car, self-driving car, autonomous highway vehicle, ",,本月，交通部长提出了第一套针对<b>自动驾驶汽车</b>的规则。,běn yuè ， jiāo tōng bù zhǎng tí chū le dì yī tào zhēn duì zì dòng jià shǐ qì chē de guī zé 。,"This month, the transport minister proposed the first set of rules for autonomous vehicles."
驾驶,jià shǐ,"Drive, driving, steer, pilot, ",,他承认鲁莽<b>驾驶</b>。,tā chéng rèn lǔ mǎng jià shǐ 。,He admitted driving recklessly.
签名,qiān míng,"Signature, sign, endorse, John Hancock, ",,每个人的<b>签名</b>是独一无二的。,měi gè rén de qiān míng shì dú yī wú èr de 。,Each person's signature is unique.
证明,zhèng míng,"proof; to prove, certify, Prove, demonstrate, ",,我们必须<b>证明</b>我们有多坚毅。,wǒ men bì xū zhèng míng wǒ men yǒu duō jiān yì 。,We have to prove how gritty we are.
护照,hù zhào,"passport, safeguard, pbumport, pass, ",,这是你的<b>护照</b>。你可保管好了。,zhè shì nǐ de hù zhào 。 nǐ kě bǎo guǎn hǎo le 。,Here's your passport. Now keep it safe.
行李,xíng lǐ,"baggage, belongings, luggagebaggage, ",,我直截了当让他收拾好<b>行李</b>走人。,wǒ zhí jié liǎo dàng ràng tā shōu shí hǎo xíng lǐ zǒu rén 。,I told him fair and square to pack his bags.
古典,gǔ diǎn,"Classical, Genteel, Old Fashion, Old-fashioned, ",,大多数<b>古典</b>音乐都会让我睡着。,dà duō shù gǔ diǎn yīn yuè dōu huì ràng wǒ shuì zháo 。,Most classical music sends me to sleep.
古老,gǔ lǎo,"antiquity, ancient, Old, Adam, ",,她出生于一个<b>古老</b>的苏格兰家族。,tā chū shēng yú yí gè gǔ lǎo de sū gé lán jiā zú 。,She comes from an old Scots family.
地址,dì zhǐ,"address, Add, ADDRESS /ADDRESS, ",,我会告诉你我的<b>地址</b>和电话号码。,wǒ huì gào sù nǐ wǒ de dì zhǐ hé diàn huà hào mǎ 。,I'll give you my address and phone number.
电话号码,diàn huà hào mǎ,"Phone Number, telephone number, Telephone No, Phone, ",,我的<b>电话</b><b>号码</b>是266998。,wǒ de diàn huà hào mǎ shì 266998。,My phone number is 266998.
立即,lì jí,"Immediately, in no time, in a moment, ",,她<b>立即</b>一口气说出了好几个名字。,tā lì jí yì kǒu qì shuō chū le hǎo jǐ gè míng zì 。,She immediately reeled off several names.
购买,gòu mǎi,"authority to purchase, acquisition, Convenience to Buy, ",,这种设备可从您当地的供应商<b>购买</b>。,zhè zhǒng shè bèi kě cóng nín dāng dì de gōng yìng shāng gòu mǎi 。,The equipment can be purchased from your local supplier.
浅,qiǎn,"low, Tan, light green, light yellow, ",,她已经慢慢进入了<b>浅</b>睡眠。,tā yǐ jīng màn màn jìn rù le qiǎn shuì mián 。,She had drifted into a light sleep.
深,shēn,"depth, DARK, DEEP, Ballad ver, ",,那个男孩的脸上有<b>深</b>皱眉的表情。,nà gè nán hái de liǎn shàng yǒu shēn zhòu méi de biǎo qíng 。,There was a deep frown on the boy's face.
